,checkpoint,dataset,method,n_shot,accuracy
0,flan-t5-xl,anli,language_modeling,0,0.41
1,flan-t5-xl,anli,average_language_modeling,0,0.34
2,flan-t5-xl,cqa,language_modeling,0,0.65
3,flan-t5-xl,cqa,average_language_modeling,0,0.53
4,flan-t5-xl,siqa,language_modeling,0,0.56
5,flan-t5-xl,siqa,average_language_modeling,0,0.61
6,flan-t5-xl,logical_deduction_five_objects,language_modeling,0,0.47
7,flan-t5-xl,logical_deduction_five_objects,average_language_modeling,0,0.42
8,flan-t5-xl,disambiguation_qa,language_modeling,0,0.47
9,flan-t5-xl,disambiguation_qa,average_language_modeling,0,0.5
10,flan-t5-xl,conceptual_combinations,language_modeling,0,0.44
11,flan-t5-xl,conceptual_combinations,average_language_modeling,0,0.51
12,flan-t5-xl,strange_stories,language_modeling,0,0.41
13,flan-t5-xl,strange_stories,average_language_modeling,0,0.43
14,flan-t5-xl,symbol_interpretation,language_modeling,0,0.22
15,flan-t5-xl,symbol_interpretation,average_language_modeling,0,0.2
16,flan-t5-xl,anli,language_modeling,0,0.41
17,flan-t5-xl,anli,average_language_modeling,0,0.36
18,flan-t5-xl,cqa,language_modeling,0,0.67
19,flan-t5-xl,cqa,average_language_modeling,0,0.53
20,flan-t5-xl,siqa,language_modeling,0,0.52
21,flan-t5-xl,siqa,average_language_modeling,0,0.62
22,flan-t5-xl,logical_deduction_five_objects,language_modeling,0,0.51
23,flan-t5-xl,logical_deduction_five_objects,average_language_modeling,0,0.48
24,flan-t5-xl,disambiguation_qa,language_modeling,0,0.38
25,flan-t5-xl,disambiguation_qa,average_language_modeling,0,0.52
26,flan-t5-xl,conceptual_combinations,language_modeling,0,0.45
27,flan-t5-xl,conceptual_combinations,average_language_modeling,0,0.51
28,flan-t5-xl,strange_stories,language_modeling,0,0.37
29,flan-t5-xl,strange_stories,average_language_modeling,0,0.39
30,flan-t5-xl,symbol_interpretation,language_modeling,0,0.26
31,flan-t5-xl,symbol_interpretation,average_language_modeling,0,0.14
32,flan-t5-xl,anli,language_modeling,0,0.4
33,flan-t5-xl,anli,average_language_modeling,0,0.41
34,flan-t5-xl,cqa,language_modeling,0,0.56
35,flan-t5-xl,cqa,average_language_modeling,0,0.54
36,flan-t5-xl,siqa,language_modeling,0,0.63
37,flan-t5-xl,siqa,average_language_modeling,0,0.64
38,flan-t5-xl,logical_deduction_five_objects,language_modeling,0,0.51
39,flan-t5-xl,logical_deduction_five_objects,average_language_modeling,0,0.49
40,flan-t5-xl,disambiguation_qa,language_modeling,0,0.53
41,flan-t5-xl,disambiguation_qa,average_language_modeling,0,0.52
42,flan-t5-xl,conceptual_combinations,language_modeling,0,0.46
43,flan-t5-xl,conceptual_combinations,average_language_modeling,0,0.53
44,flan-t5-xl,strange_stories,language_modeling,0,0.36
45,flan-t5-xl,strange_stories,average_language_modeling,0,0.4
46,flan-t5-xl,symbol_interpretation,language_modeling,0,0.24
47,flan-t5-xl,symbol_interpretation,average_language_modeling,0,0.18
48,flan-t5-xl,anli,language_modeling,0,0.35
49,flan-t5-xl,anli,average_language_modeling,0,0.42
50,flan-t5-xl,cqa,language_modeling,0,0.72
51,flan-t5-xl,cqa,average_language_modeling,0,0.55
52,flan-t5-xl,siqa,language_modeling,0,0.57
53,flan-t5-xl,siqa,average_language_modeling,0,0.65
54,flan-t5-xl,logical_deduction_five_objects,language_modeling,0,0.45
55,flan-t5-xl,logical_deduction_five_objects,average_language_modeling,0,0.4
56,flan-t5-xl,disambiguation_qa,language_modeling,0,0.4
57,flan-t5-xl,disambiguation_qa,average_language_modeling,0,0.55
58,flan-t5-xl,conceptual_combinations,language_modeling,0,0.44
59,flan-t5-xl,conceptual_combinations,average_language_modeling,0,0.52
60,flan-t5-xl,strange_stories,language_modeling,0,0.39
61,flan-t5-xl,strange_stories,average_language_modeling,0,0.42
62,flan-t5-xl,symbol_interpretation,language_modeling,0,0.27
63,flan-t5-xl,symbol_interpretation,average_language_modeling,0,0.28
64,flan-t5-xl,anli,language_modeling,0,0.36
65,flan-t5-xl,anli,average_language_modeling,0,0.37
66,flan-t5-xl,cqa,language_modeling,0,0.62
67,flan-t5-xl,cqa,average_language_modeling,0,0.56
68,flan-t5-xl,siqa,language_modeling,0,0.52
69,flan-t5-xl,siqa,average_language_modeling,0,0.61
70,flan-t5-xl,logical_deduction_five_objects,language_modeling,0,0.5
71,flan-t5-xl,logical_deduction_five_objects,average_language_modeling,0,0.5
72,flan-t5-xl,disambiguation_qa,language_modeling,0,0.51
73,flan-t5-xl,disambiguation_qa,average_language_modeling,0,0.5
74,flan-t5-xl,conceptual_combinations,language_modeling,0,0.45
75,flan-t5-xl,conceptual_combinations,average_language_modeling,0,0.52
76,flan-t5-xl,strange_stories,language_modeling,0,0.42
77,flan-t5-xl,strange_stories,average_language_modeling,0,0.39
78,flan-t5-xl,symbol_interpretation,language_modeling,0,0.25
79,flan-t5-xl,symbol_interpretation,average_language_modeling,0,0.23
0,flan-t5-xl,anli,multiple_choice_prompt,0,0.57
1,flan-t5-xl,cqa,multiple_choice_prompt,0,0.88
2,flan-t5-xl,siqa,multiple_choice_prompt,0,0.73
3,flan-t5-xl,logical_deduction_five_objects,multiple_choice_prompt,0,0.35
4,flan-t5-xl,disambiguation_qa,multiple_choice_prompt,0,0.67
5,flan-t5-xl,conceptual_combinations,multiple_choice_prompt,0,0.62
6,flan-t5-xl,strange_stories,multiple_choice_prompt,0,0.73
7,flan-t5-xl,symbol_interpretation,multiple_choice_prompt,0,0.28
8,flan-t5-xl,anli,multiple_choice_prompt,0,0.59
9,flan-t5-xl,cqa,multiple_choice_prompt,0,0.84
10,flan-t5-xl,siqa,multiple_choice_prompt,0,0.76
11,flan-t5-xl,logical_deduction_five_objects,multiple_choice_prompt,0,0.39
12,flan-t5-xl,disambiguation_qa,multiple_choice_prompt,0,0.68
13,flan-t5-xl,conceptual_combinations,multiple_choice_prompt,0,0.61
14,flan-t5-xl,strange_stories,multiple_choice_prompt,0,0.74
15,flan-t5-xl,symbol_interpretation,multiple_choice_prompt,0,0.29
16,flan-t5-xl,anli,multiple_choice_prompt,0,0.59
17,flan-t5-xl,cqa,multiple_choice_prompt,0,0.85
18,flan-t5-xl,siqa,multiple_choice_prompt,0,0.85
19,flan-t5-xl,logical_deduction_five_objects,multiple_choice_prompt,0,0.43
20,flan-t5-xl,disambiguation_qa,multiple_choice_prompt,0,0.66
21,flan-t5-xl,conceptual_combinations,multiple_choice_prompt,0,0.6
22,flan-t5-xl,strange_stories,multiple_choice_prompt,0,0.75
23,flan-t5-xl,symbol_interpretation,multiple_choice_prompt,0,0.23
24,flan-t5-xl,anli,multiple_choice_prompt,0,0.61
25,flan-t5-xl,cqa,multiple_choice_prompt,0,0.9
26,flan-t5-xl,siqa,multiple_choice_prompt,0,0.85
27,flan-t5-xl,logical_deduction_five_objects,multiple_choice_prompt,0,0.38
28,flan-t5-xl,disambiguation_qa,multiple_choice_prompt,0,0.71
29,flan-t5-xl,conceptual_combinations,multiple_choice_prompt,0,0.58
30,flan-t5-xl,strange_stories,multiple_choice_prompt,0,0.74
31,flan-t5-xl,symbol_interpretation,multiple_choice_prompt,0,0.24
32,flan-t5-xl,anli,multiple_choice_prompt,0,0.53
33,flan-t5-xl,cqa,multiple_choice_prompt,0,0.89
34,flan-t5-xl,siqa,multiple_choice_prompt,0,0.76
35,flan-t5-xl,logical_deduction_five_objects,multiple_choice_prompt,0,0.44
36,flan-t5-xl,disambiguation_qa,multiple_choice_prompt,0,0.67
37,flan-t5-xl,conceptual_combinations,multiple_choice_prompt,0,0.6
38,flan-t5-xl,strange_stories,multiple_choice_prompt,0,0.74
39,flan-t5-xl,symbol_interpretation,multiple_choice_prompt,0,0.23
134,flan-t5-xl,anli,process_of_elimination,0,0.56
135,flan-t5-xl,cqa,process_of_elimination,0,0.89
136,flan-t5-xl,siqa,process_of_elimination,0,0.74
137,flan-t5-xl,logical_deduction_five_objects,process_of_elimination,0,0.51
138,flan-t5-xl,disambiguation_qa,process_of_elimination,0,0.66
139,flan-t5-xl,conceptual_combinations,process_of_elimination,0,0.73
140,flan-t5-xl,strange_stories,process_of_elimination,0,0.77
141,flan-t5-xl,symbol_interpretation,process_of_elimination,0,0.19
142,flan-t5-xl,anli,process_of_elimination,0,0.53
143,flan-t5-xl,cqa,process_of_elimination,0,0.89
144,flan-t5-xl,siqa,process_of_elimination,0,0.79
145,flan-t5-xl,logical_deduction_five_objects,process_of_elimination,0,0.46
146,flan-t5-xl,disambiguation_qa,process_of_elimination,0,0.69
147,flan-t5-xl,conceptual_combinations,process_of_elimination,0,0.72
148,flan-t5-xl,strange_stories,process_of_elimination,0,0.75
149,flan-t5-xl,symbol_interpretation,process_of_elimination,0,0.3
150,flan-t5-xl,anli,process_of_elimination,0,0.56
151,flan-t5-xl,cqa,process_of_elimination,0,0.86
152,flan-t5-xl,siqa,process_of_elimination,0,0.84
153,flan-t5-xl,logical_deduction_five_objects,process_of_elimination,0,0.53
154,flan-t5-xl,disambiguation_qa,process_of_elimination,0,0.66
155,flan-t5-xl,conceptual_combinations,process_of_elimination,0,0.72
156,flan-t5-xl,strange_stories,process_of_elimination,0,0.77
157,flan-t5-xl,symbol_interpretation,process_of_elimination,0,0.25
158,flan-t5-xl,anli,process_of_elimination,0,0.58
159,flan-t5-xl,cqa,process_of_elimination,0,0.92
160,flan-t5-xl,siqa,process_of_elimination,0,0.92
161,flan-t5-xl,logical_deduction_five_objects,process_of_elimination,0,0.53
162,flan-t5-xl,disambiguation_qa,process_of_elimination,0,0.71
163,flan-t5-xl,conceptual_combinations,process_of_elimination,0,0.71
164,flan-t5-xl,strange_stories,process_of_elimination,0,0.77
165,flan-t5-xl,symbol_interpretation,process_of_elimination,0,0.25
166,flan-t5-xl,anli,process_of_elimination,0,0.52
167,flan-t5-xl,cqa,process_of_elimination,0,0.9
168,flan-t5-xl,siqa,process_of_elimination,0,0.81
169,flan-t5-xl,logical_deduction_five_objects,process_of_elimination,0,0.65
170,flan-t5-xl,disambiguation_qa,process_of_elimination,0,0.65
171,flan-t5-xl,conceptual_combinations,process_of_elimination,0,0.73
172,flan-t5-xl,strange_stories,process_of_elimination,0,0.77
173,flan-t5-xl,symbol_interpretation,process_of_elimination,0,0.27
0,flan-t5-xl,anli,channel,0,0.37
1,flan-t5-xl,cqa,channel,0,0.51
2,flan-t5-xl,siqa,channel,0,0.36
3,flan-t5-xl,logical_deduction_five_objects,channel,0,0.26
4,flan-t5-xl,disambiguation_qa,channel,0,0.33
5,flan-t5-xl,conceptual_combinations,channel,0,0.45
6,flan-t5-xl,strange_stories,channel,0,0.28
7,flan-t5-xl,symbol_interpretation,channel,0,0.2
8,flan-t5-xl,anli,channel,0,0.33
9,flan-t5-xl,cqa,channel,0,0.36
10,flan-t5-xl,siqa,channel,0,0.32
11,flan-t5-xl,logical_deduction_five_objects,channel,0,0.18
12,flan-t5-xl,disambiguation_qa,channel,0,0.43
13,flan-t5-xl,conceptual_combinations,channel,0,0.43
14,flan-t5-xl,strange_stories,channel,0,0.24
15,flan-t5-xl,symbol_interpretation,channel,0,0.21
16,flan-t5-xl,anli,channel,0,0.36
17,flan-t5-xl,cqa,channel,0,0.46
18,flan-t5-xl,siqa,channel,0,0.46
19,flan-t5-xl,logical_deduction_five_objects,channel,0,0.21
20,flan-t5-xl,disambiguation_qa,channel,0,0.44
21,flan-t5-xl,conceptual_combinations,channel,0,0.44
22,flan-t5-xl,strange_stories,channel,0,0.27
23,flan-t5-xl,symbol_interpretation,channel,0,0.13
24,flan-t5-xl,anli,channel,0,0.4
25,flan-t5-xl,cqa,channel,0,0.43
26,flan-t5-xl,siqa,channel,0,0.4
27,flan-t5-xl,logical_deduction_five_objects,channel,0,0.22
28,flan-t5-xl,disambiguation_qa,channel,0,0.32
29,flan-t5-xl,conceptual_combinations,channel,0,0.44
30,flan-t5-xl,strange_stories,channel,0,0.26
31,flan-t5-xl,symbol_interpretation,channel,0,0.2
32,flan-t5-xl,anli,channel,0,0.34
33,flan-t5-xl,cqa,channel,0,0.47
34,flan-t5-xl,siqa,channel,0,0.45
35,flan-t5-xl,logical_deduction_five_objects,channel,0,0.17
36,flan-t5-xl,disambiguation_qa,channel,0,0.46
37,flan-t5-xl,conceptual_combinations,channel,0,0.44
38,flan-t5-xl,strange_stories,channel,0,0.28
39,flan-t5-xl,symbol_interpretation,channel,0,0.11
0,flan-t5-xl,anli,calibration,0,0.39
1,flan-t5-xl,cqa,calibration,0,0.75
2,flan-t5-xl,siqa,calibration,0,0.47
3,flan-t5-xl,logical_deduction_five_objects,calibration,0,0.39
4,flan-t5-xl,disambiguation_qa,calibration,0,0.45
5,flan-t5-xl,conceptual_combinations,calibration,0,0.54
6,flan-t5-xl,strange_stories,calibration,0,0.42
7,flan-t5-xl,symbol_interpretation,calibration,0,0.21
8,flan-t5-xl,anli,calibration,0,0.37
9,flan-t5-xl,cqa,calibration,0,0.7
10,flan-t5-xl,siqa,calibration,0,0.55
11,flan-t5-xl,logical_deduction_five_objects,calibration,0,0.44
12,flan-t5-xl,disambiguation_qa,calibration,0,0.52
13,flan-t5-xl,conceptual_combinations,calibration,0,0.55
14,flan-t5-xl,strange_stories,calibration,0,0.43
15,flan-t5-xl,symbol_interpretation,calibration,0,0.16
16,flan-t5-xl,anli,calibration,0,0.42
17,flan-t5-xl,cqa,calibration,0,0.63
18,flan-t5-xl,siqa,calibration,0,0.61
19,flan-t5-xl,logical_deduction_five_objects,calibration,0,0.4
20,flan-t5-xl,disambiguation_qa,calibration,0,0.46
21,flan-t5-xl,conceptual_combinations,calibration,0,0.55
22,flan-t5-xl,strange_stories,calibration,0,0.46
23,flan-t5-xl,symbol_interpretation,calibration,0,0.2
24,flan-t5-xl,anli,calibration,0,0.33
25,flan-t5-xl,cqa,calibration,0,0.73
26,flan-t5-xl,siqa,calibration,0,0.65
27,flan-t5-xl,logical_deduction_five_objects,calibration,0,0.33
28,flan-t5-xl,disambiguation_qa,calibration,0,0.5
29,flan-t5-xl,conceptual_combinations,calibration,0,0.54
30,flan-t5-xl,strange_stories,calibration,0,0.44
31,flan-t5-xl,symbol_interpretation,calibration,0,0.27
32,flan-t5-xl,anli,calibration,0,0.35
33,flan-t5-xl,cqa,calibration,0,0.67
34,flan-t5-xl,siqa,calibration,0,0.6
35,flan-t5-xl,logical_deduction_five_objects,calibration,0,0.4
36,flan-t5-xl,disambiguation_qa,calibration,0,0.47
37,flan-t5-xl,conceptual_combinations,calibration,0,0.54
38,flan-t5-xl,strange_stories,calibration,0,0.42
39,flan-t5-xl,symbol_interpretation,calibration,0,0.21
