,dataset,scoring_method,mask_strategy,mask_accuracy,accuracy,acc_diff
40,anli,multiple_choice_prompt,below_average,0.75,0.56,0.18999999999999995
41,cqa,multiple_choice_prompt,below_average,0.98,0.89,0.08999999999999997
42,siqa,multiple_choice_prompt,below_average,0.89,0.74,0.15000000000000002
43,logical_deduction_five_objects,multiple_choice_prompt,below_average,0.65,0.51,0.14
44,disambiguation_qa,multiple_choice_prompt,below_average,0.68,0.66,0.020000000000000018
45,conceptual_combinations,multiple_choice_prompt,below_average,0.84,0.73,0.10999999999999999
46,strange_stories,multiple_choice_prompt,below_average,0.9,0.77,0.13
47,symbol_interpretation,multiple_choice_prompt,below_average,0.48,0.19,0.29
48,anli,multiple_choice_prompt,below_average,0.72,0.53,0.18999999999999995
49,cqa,multiple_choice_prompt,below_average,0.98,0.89,0.08999999999999997
50,siqa,multiple_choice_prompt,below_average,0.88,0.79,0.08999999999999997
51,logical_deduction_five_objects,multiple_choice_prompt,below_average,0.7,0.46,0.23999999999999994
52,disambiguation_qa,multiple_choice_prompt,below_average,0.7,0.69,0.010000000000000009
53,conceptual_combinations,multiple_choice_prompt,below_average,0.82,0.72,0.09999999999999998
54,strange_stories,multiple_choice_prompt,below_average,0.88,0.75,0.13
55,symbol_interpretation,multiple_choice_prompt,below_average,0.56,0.3,0.26000000000000006
56,anli,multiple_choice_prompt,below_average,0.73,0.56,0.16999999999999993
57,cqa,multiple_choice_prompt,below_average,0.95,0.86,0.08999999999999997
58,siqa,multiple_choice_prompt,below_average,0.93,0.84,0.09000000000000008
59,logical_deduction_five_objects,multiple_choice_prompt,below_average,0.73,0.53,0.19999999999999996
60,disambiguation_qa,multiple_choice_prompt,below_average,0.68,0.66,0.020000000000000018
61,conceptual_combinations,multiple_choice_prompt,below_average,0.83,0.72,0.10999999999999999
62,strange_stories,multiple_choice_prompt,below_average,0.89,0.77,0.12
63,symbol_interpretation,multiple_choice_prompt,below_average,0.51,0.25,0.26
64,anli,multiple_choice_prompt,below_average,0.7,0.58,0.12
65,cqa,multiple_choice_prompt,below_average,0.99,0.92,0.06999999999999995
66,siqa,multiple_choice_prompt,below_average,0.92,0.92,0.0
67,logical_deduction_five_objects,multiple_choice_prompt,below_average,0.71,0.53,0.17999999999999994
68,disambiguation_qa,multiple_choice_prompt,below_average,0.73,0.71,0.020000000000000018
69,conceptual_combinations,multiple_choice_prompt,below_average,0.82,0.71,0.10999999999999999
70,strange_stories,multiple_choice_prompt,below_average,0.9,0.77,0.13
71,symbol_interpretation,multiple_choice_prompt,below_average,0.55,0.25,0.30000000000000004
72,anli,multiple_choice_prompt,below_average,0.64,0.52,0.12
73,cqa,multiple_choice_prompt,below_average,0.99,0.9,0.08999999999999997
74,siqa,multiple_choice_prompt,below_average,0.89,0.81,0.07999999999999996
75,logical_deduction_five_objects,multiple_choice_prompt,below_average,0.77,0.65,0.12
76,disambiguation_qa,multiple_choice_prompt,below_average,0.69,0.65,0.039999999999999925
77,conceptual_combinations,multiple_choice_prompt,below_average,0.83,0.73,0.09999999999999998
78,strange_stories,multiple_choice_prompt,below_average,0.88,0.77,0.10999999999999999
79,symbol_interpretation,multiple_choice_prompt,below_average,0.51,0.27,0.24
311,cqa,multiple_choice_prompt,below_average,0.59,0.14,0.44999999999999996
376,cqa,channel,below_average,0.79,0.71,0.08000000000000007
377,cqa,channel,lowest,0.91,0.83,0.08000000000000007
378,cqa,calibration,below_average,0.93,0.46,0.47000000000000003
379,cqa,calibration,lowest,1.0,0.29,0.71
380,cqa,language_modeling,below_average,0.85,0.79,0.05999999999999994
381,cqa,language_modeling,lowest,0.96,0.86,0.09999999999999998
383,cqa,multiple_choice_prompt,lowest,0.99,0.9,0.08999999999999997
384,cqa,channel,below_average,0.78,0.73,0.050000000000000044
385,cqa,channel,lowest,0.93,0.85,0.08000000000000007
386,cqa,calibration,below_average,0.91,0.44,0.47000000000000003
387,cqa,calibration,lowest,1.0,0.3,0.7
388,cqa,language_modeling,below_average,0.81,0.74,0.07000000000000006
389,cqa,language_modeling,lowest,0.93,0.85,0.08000000000000007
391,cqa,multiple_choice_prompt,lowest,1.0,0.89,0.10999999999999999
392,cqa,channel,below_average,0.76,0.7,0.06000000000000005
393,cqa,channel,lowest,0.83,0.76,0.06999999999999995
394,cqa,calibration,below_average,0.83,0.38,0.44999999999999996
395,cqa,calibration,lowest,0.98,0.24,0.74
396,cqa,language_modeling,below_average,0.85,0.76,0.08999999999999997
397,cqa,language_modeling,lowest,0.97,0.85,0.12
399,cqa,multiple_choice_prompt,lowest,1.0,0.85,0.15000000000000002
400,cqa,channel,below_average,0.79,0.72,0.07000000000000006
401,cqa,channel,lowest,0.91,0.84,0.07000000000000006
402,cqa,calibration,below_average,0.95,0.47,0.48
403,cqa,calibration,lowest,1.0,0.26,0.74
404,cqa,language_modeling,below_average,0.88,0.81,0.06999999999999995
405,cqa,language_modeling,lowest,0.97,0.88,0.08999999999999997
407,cqa,multiple_choice_prompt,lowest,1.0,0.9,0.09999999999999998
408,cqa,channel,below_average,0.75,0.72,0.030000000000000027
409,cqa,channel,lowest,0.85,0.81,0.039999999999999925
410,cqa,calibration,below_average,0.89,0.35,0.54
411,cqa,calibration,lowest,0.98,0.19,0.79
412,cqa,language_modeling,below_average,0.88,0.85,0.030000000000000027
413,cqa,language_modeling,lowest,0.98,0.94,0.040000000000000036
415,cqa,multiple_choice_prompt,lowest,1.0,0.92,0.07999999999999996
416,anli,channel,below_average,0.48,0.41,0.07
418,siqa,channel,below_average,0.56,0.49,0.07000000000000006
419,logical_deduction_five_objects,channel,below_average,0.6,0.43,0.16999999999999998
420,disambiguation_qa,channel,below_average,0.6,0.5,0.09999999999999998
421,conceptual_combinations,channel,below_average,0.67,0.56,0.10999999999999999
422,strange_stories,channel,below_average,0.51,0.45,0.06
423,symbol_interpretation,channel,below_average,0.5,0.18,0.32
424,anli,channel,lowest,0.65,0.46,0.19
426,siqa,channel,lowest,0.73,0.6,0.13
427,logical_deduction_five_objects,channel,lowest,0.85,0.42,0.43
428,disambiguation_qa,channel,lowest,0.75,0.6,0.15000000000000002
429,conceptual_combinations,channel,lowest,0.78,0.62,0.16000000000000003
430,strange_stories,channel,lowest,0.73,0.63,0.09999999999999998
431,symbol_interpretation,channel,lowest,0.79,0.21,0.5800000000000001
432,anli,calibration,below_average,0.61,0.39,0.21999999999999997
434,siqa,calibration,below_average,0.62,0.51,0.10999999999999999
435,logical_deduction_five_objects,calibration,below_average,0.78,0.31,0.47000000000000003
436,disambiguation_qa,calibration,below_average,0.7,0.49,0.20999999999999996
437,conceptual_combinations,calibration,below_average,0.64,0.22,0.42000000000000004
438,strange_stories,calibration,below_average,0.58,0.19,0.38999999999999996
439,symbol_interpretation,calibration,below_average,0.45,0.15,0.30000000000000004
440,anli,calibration,lowest,0.71,0.36,0.35
442,siqa,calibration,lowest,0.85,0.46,0.38999999999999996
443,logical_deduction_five_objects,calibration,lowest,0.92,0.21,0.7100000000000001
444,disambiguation_qa,calibration,lowest,0.71,0.44,0.26999999999999996
445,conceptual_combinations,calibration,lowest,0.83,0.0,0.83
446,strange_stories,calibration,lowest,0.84,0.21,0.63
447,symbol_interpretation,calibration,lowest,0.81,0.15,0.66
448,anli,language_modeling,below_average,0.42,0.38,0.03999999999999998
450,siqa,language_modeling,below_average,0.75,0.67,0.07999999999999996
451,logical_deduction_five_objects,language_modeling,below_average,0.75,0.54,0.20999999999999996
452,disambiguation_qa,language_modeling,below_average,0.71,0.67,0.039999999999999925
453,conceptual_combinations,language_modeling,below_average,0.71,0.59,0.12
454,strange_stories,language_modeling,below_average,0.74,0.63,0.10999999999999999
455,symbol_interpretation,language_modeling,below_average,0.46,0.19,0.27
456,anli,language_modeling,lowest,0.74,0.49,0.25
458,siqa,language_modeling,lowest,0.85,0.7,0.15000000000000002
459,logical_deduction_five_objects,language_modeling,lowest,0.94,0.55,0.3899999999999999
460,disambiguation_qa,language_modeling,lowest,0.71,0.66,0.04999999999999993
461,conceptual_combinations,language_modeling,lowest,0.86,0.68,0.17999999999999994
462,strange_stories,language_modeling,lowest,0.84,0.68,0.15999999999999992
463,symbol_interpretation,language_modeling,lowest,0.8,0.16,0.64
472,anli,multiple_choice_prompt,lowest,0.82,0.57,0.25
474,siqa,multiple_choice_prompt,lowest,0.94,0.76,0.17999999999999994
475,logical_deduction_five_objects,multiple_choice_prompt,lowest,0.85,0.52,0.32999999999999996
476,disambiguation_qa,multiple_choice_prompt,lowest,0.82,0.67,0.1499999999999999
477,conceptual_combinations,multiple_choice_prompt,lowest,0.93,0.76,0.17000000000000004
478,strange_stories,multiple_choice_prompt,lowest,0.98,0.76,0.21999999999999997
479,symbol_interpretation,multiple_choice_prompt,lowest,0.79,0.19,0.6000000000000001
480,anli,channel,below_average,0.51,0.41,0.10000000000000003
482,siqa,channel,below_average,0.49,0.44,0.04999999999999999
483,logical_deduction_five_objects,channel,below_average,0.53,0.33,0.2
484,disambiguation_qa,channel,below_average,0.67,0.58,0.09000000000000008
485,conceptual_combinations,channel,below_average,0.65,0.55,0.09999999999999998
486,strange_stories,channel,below_average,0.48,0.41,0.07
487,symbol_interpretation,channel,below_average,0.55,0.26,0.29000000000000004
488,anli,channel,lowest,0.72,0.47,0.25
490,siqa,channel,lowest,0.66,0.57,0.09000000000000008
491,logical_deduction_five_objects,channel,lowest,0.8,0.45,0.35000000000000003
492,disambiguation_qa,channel,lowest,0.83,0.65,0.17999999999999994
493,conceptual_combinations,channel,lowest,0.76,0.61,0.15000000000000002
494,strange_stories,channel,lowest,0.73,0.61,0.12
495,symbol_interpretation,channel,lowest,0.87,0.29,0.5800000000000001
496,anli,calibration,below_average,0.56,0.37,0.19000000000000006
498,siqa,calibration,below_average,0.68,0.49,0.19000000000000006
499,logical_deduction_five_objects,calibration,below_average,0.72,0.31,0.41
500,disambiguation_qa,calibration,below_average,0.71,0.46,0.24999999999999994
501,conceptual_combinations,calibration,below_average,0.66,0.23,0.43000000000000005
502,strange_stories,calibration,below_average,0.57,0.16,0.4099999999999999
503,symbol_interpretation,calibration,below_average,0.5,0.11,0.39
504,anli,calibration,lowest,0.69,0.36,0.32999999999999996
506,siqa,calibration,lowest,0.82,0.35,0.47
507,logical_deduction_five_objects,calibration,lowest,0.93,0.21,0.7200000000000001
508,disambiguation_qa,calibration,lowest,0.71,0.38,0.32999999999999996
509,conceptual_combinations,calibration,lowest,0.85,0.0,0.85
510,strange_stories,calibration,lowest,0.85,0.19,0.6599999999999999
511,symbol_interpretation,calibration,lowest,0.9,0.11,0.79
512,anli,language_modeling,below_average,0.46,0.41,0.050000000000000044
514,siqa,language_modeling,below_average,0.74,0.66,0.07999999999999996
515,logical_deduction_five_objects,language_modeling,below_average,0.71,0.48,0.22999999999999998
516,disambiguation_qa,language_modeling,below_average,0.7,0.67,0.029999999999999916
517,conceptual_combinations,language_modeling,below_average,0.71,0.58,0.13
518,strange_stories,language_modeling,below_average,0.68,0.57,0.1100000000000001
519,symbol_interpretation,language_modeling,below_average,0.55,0.2,0.35000000000000003
520,anli,language_modeling,lowest,0.76,0.49,0.27
522,siqa,language_modeling,lowest,0.8,0.7,0.10000000000000009
523,logical_deduction_five_objects,language_modeling,lowest,0.94,0.51,0.42999999999999994
524,disambiguation_qa,language_modeling,lowest,0.71,0.67,0.039999999999999925
525,conceptual_combinations,language_modeling,lowest,0.86,0.68,0.17999999999999994
526,strange_stories,language_modeling,lowest,0.83,0.66,0.16999999999999993
527,symbol_interpretation,language_modeling,lowest,0.8,0.2,0.6000000000000001
536,anli,multiple_choice_prompt,lowest,0.89,0.55,0.33999999999999997
538,siqa,multiple_choice_prompt,lowest,0.95,0.8,0.1499999999999999
539,logical_deduction_five_objects,multiple_choice_prompt,lowest,0.89,0.54,0.35
540,disambiguation_qa,multiple_choice_prompt,lowest,0.83,0.69,0.14
541,conceptual_combinations,multiple_choice_prompt,lowest,0.92,0.76,0.16000000000000003
542,strange_stories,multiple_choice_prompt,lowest,0.97,0.75,0.21999999999999997
543,symbol_interpretation,multiple_choice_prompt,lowest,0.89,0.28,0.61
544,anli,channel,below_average,0.54,0.35,0.19000000000000006
546,siqa,channel,below_average,0.62,0.6,0.020000000000000018
547,logical_deduction_five_objects,channel,below_average,0.61,0.45,0.15999999999999998
548,disambiguation_qa,channel,below_average,0.61,0.53,0.07999999999999996
549,conceptual_combinations,channel,below_average,0.66,0.55,0.10999999999999999
550,strange_stories,channel,below_average,0.53,0.47,0.06000000000000005
551,symbol_interpretation,channel,below_average,0.44,0.15,0.29000000000000004
552,anli,channel,lowest,0.7,0.4,0.29999999999999993
554,siqa,channel,lowest,0.8,0.73,0.07000000000000006
555,logical_deduction_five_objects,channel,lowest,0.87,0.52,0.35
556,disambiguation_qa,channel,lowest,0.75,0.59,0.16000000000000003
557,conceptual_combinations,channel,lowest,0.77,0.61,0.16000000000000003
558,strange_stories,channel,lowest,0.76,0.65,0.10999999999999999
559,symbol_interpretation,channel,lowest,0.83,0.19,0.6399999999999999
560,anli,calibration,below_average,0.61,0.45,0.15999999999999998
562,siqa,calibration,below_average,0.79,0.57,0.22000000000000008
563,logical_deduction_five_objects,calibration,below_average,0.72,0.28,0.43999999999999995
564,disambiguation_qa,calibration,below_average,0.65,0.39,0.26
565,conceptual_combinations,calibration,below_average,0.66,0.22,0.44000000000000006
566,strange_stories,calibration,below_average,0.52,0.19,0.33
567,symbol_interpretation,calibration,below_average,0.41,0.2,0.20999999999999996
568,anli,calibration,lowest,0.68,0.41,0.2700000000000001
570,siqa,calibration,lowest,0.88,0.49,0.39
571,logical_deduction_five_objects,calibration,lowest,0.97,0.23,0.74
